0:	2.713172534641E-06
1:	4.797237124876E-06
2:	6.663829026365E-06
3:	8.741892997932E-06
4:	1.101590351027E-05
5:	1.298571896768E-05
6:	1.484728272771E-05
7:	1.652254104556E-05
8:	1.800235622795E-05
9:	1.964390321518E-05
10:	2.109844899678E-05
11:	2.272609162901E-05
12:	2.451494219713E-05
13:	2.577044870122E-05
14:	2.673392918950E-05
15:	2.792461600620E-05
16:	2.927376590378E-05
17:	3.079777889070E-05
18:	3.221881706850E-05
19:	3.339054092066E-05
20:	3.441147782723E-05
21:	3.559212564141E-05
22:	3.713804835570E-05
23:	3.889993240591E-05
24:	4.043745502713E-05
25:	4.165453719907E-05
26:	4.267267286195E-05
27:	4.380655445857E-05
28:	4.521479422692E-05
29:	4.672496288549E-05
30:	4.812331462745E-05
31:	4.929485294269E-05
32:	5.035109279561E-05
33:	5.147979391040E-05
34:	5.276059891912E-05
35:	5.411243546405E-05
36:	5.538688492379E-05
37:	5.650830644299E-05
38:	5.753940786235E-05
39:	5.861447425559E-05
40:	5.979464549455E-05
41:	6.102653424023E-05
42:	6.220303475857E-05
43:	6.326552829705E-05
44:	6.430005305447E-05
45:	6.543464405695E-05
46:	6.662029045401E-05
47:	6.783416756662E-05
48:	6.902273889864E-05
49:	7.015197479632E-05
50:	7.124889089027E-05
51:	7.235924567794E-05
52:	7.350899250014E-05
53:	7.468062540283E-05
54:	7.582765829284E-05
55:	7.693134830333E-05
56:	7.801015453879E-05
57:	7.909565465525E-05
58:	8.020695531741E-05
59:	8.133079245454E-05
60:	8.243887714343E-05
61:	8.351683936780E-05
62:	8.457326475764E-05
63:	8.563471783418E-05
64:	8.671270188643E-05
65:	8.779819472693E-05
66:	8.887230796972E-05
67:	8.992423681775E-05
68:	9.096197027247E-05
69:	9.200190106640E-05
70:	9.305204730481E-05
71:	9.410914935870E-05
72:	9.518738079350E-05
73:	9.624964877730E-05
74:	9.730305464473E-05
75:	9.835921082413E-05
76:	9.942513861461E-05
77:	1.004957011901E-04
78:	1.015600864775E-04
79:	1.026122045005E-04
80:	1.036576286424E-04
81:	1.047048281180E-04
82:	1.057573826984E-04
83:	1.068129568011E-04
84:	1.078636414604E-04
85:	1.089057550416E-04
86:	1.099421860999E-04
87:	1.109795848606E-04
88:	1.120194938267E-04
89:	1.130621749326E-04
90:	1.141000975622E-04
91:	1.151320029749E-04
92:	1.161599793704E-04
93:	1.171870026155E-04
94:	1.182159321615E-04
95:	1.192463678308E-04
96:	1.202730345540E-04
97:	1.212949791807E-04
98:	1.223130529979E-04
99:	1.233314105775E-04
100:	1.243557635462E-04
101:	1.253859372810E-04
102:	1.264142192667E-04
103:	1.274390961044E-04
104:	1.284621394007E-04
105:	1.294851972489E-04
106:	1.305081823375E-04
107:	1.315329718636E-04
108:	1.325548364548E-04
109:	1.335758424830E-04
110:	1.345951604890E-04
111:	1.356142020086E-04
112:	1.366338692605E-04
113:	1.376543950755E-04
114:	1.386737567373E-04
115:	1.396910083713E-04
116:	1.407084637322E-04
117:	1.417246821802E-04
118:	1.427415845683E-04
119:	1.437591272406E-04
120:	1.447757676942E-04
121:	1.457914331695E-04
122:	1.468056434533E-04
123:	1.478206831962E-04
124:	1.488360867370E-04
125:	1.498509518569E-04
126:	1.508655404905E-04
127:	1.518797798781E-04
128:	1.528929133201E-04
129:	1.539059740026E-04
130:	1.549230364617E-04
131:	1.559403463034E-04
132:	1.569575397298E-04
133:	1.579735690029E-04
134:	1.589913008502E-04
135:	1.600079995114E-04
136:	1.610246254131E-04
137:	1.620410330361E-04
138:	1.630584301893E-04
139:	1.640746340854E-04
140:	1.650907652220E-04
141:	1.661068963585E-04
142:	1.671235804679E-04
143:	1.681394933257E-04
144:	1.691568322713E-04
145:	1.701726432657E-04
146:	1.711885561235E-04
147:	1.722052693367E-04
148:	1.732209639158E-04
149:	1.742367167026E-04
150:	1.752531825332E-04
151:	1.762685424183E-04
152:	1.772844989318E-04
153:	1.783010229701E-04
154:	1.793174305931E-04
155:	1.803341438062E-04
156:	1.813506678445E-04
157:	1.823654747568E-04
158:	1.833817659644E-04
159:	1.843985810410E-04
160:	1.854171568993E-04
161:	1.864361547632E-04
162:	1.874554145616E-04
163:	1.884745870484E-04
164:	1.894953893498E-04
